jurisdiction,model,estimate,conf_low,conf_high,estimable,interval_reliable,note,estimate_pp,conf_low_pp,conf_high_pp,estimand,causal_interpretation,canonical_run_id
CN,deepseek-chat-v3.1,0.1524350932509871,0.09119639603651233,0.23780494726842064,TRUE,TRUE,,15.243509325098712,9.119639603651233,23.780494726842065,model-specific covariate-standardized home contrast,"covariate-standardized home-region refusal contrast; NOT causal, NOT a difference-in-differences, NOT a within-issue effect; adjustment controls measured composition only and cannot remove unmeasured differences between home and away issues",canon_004
CN,qwen3-max,0.17715490744235587,0.0972172523743795,0.26759891746632347,TRUE,TRUE,,17.715490744235588,9.721725237437951,26.75989174663235,model-specific covariate-standardized home contrast,"covariate-standardized home-region refusal contrast; NOT causal, NOT a difference-in-differences, NOT a within-issue effect; adjustment controls measured composition only and cannot remove unmeasured differences between home and away issues",canon_004
CN,EQUAL-MODEL AVERAGE,0.1647950003466715,0.10206684068077018,0.24932149675694398,TRUE,TRUE,jointly bootstrapped mean of this jurisdiction's model-specific contrasts,16.47950003466715,10.206684068077019,24.932149675694397,model-specific covariate-standardized home contrast,"covariate-standardized home-region refusal contrast; NOT causal, NOT a difference-in-differences, NOT a within-issue effect; adjustment controls measured composition only and cannot remove unmeasured differences between home and away issues",canon_004
MENA,allam-7b,0.07049441515871041,0.021888412957506168,0.12033578579293677,TRUE,TRUE,,7.049441515871041,2.188841295750617,12.033578579293676,model-specific covariate-standardized home contrast,"covariate-standardized home-region refusal contrast; NOT causal, NOT a difference-in-differences, NOT a within-issue effect; adjustment controls measured composition only and cannot remove unmeasured differences between home and away issues",canon_004
MENA,falcon3-10b,0.027771096664877752,-2.9514237253849184e-4,0.055953590775290746,TRUE,TRUE,,2.777109666487775,-0.029514237253849183,5.595359077529075,model-specific covariate-standardized home contrast,"covariate-standardized home-region refusal contrast; NOT causal, NOT a difference-in-differences, NOT a within-issue effect; adjustment controls measured composition only and cannot remove unmeasured differences between home and away issues",canon_004
MENA,jais-8b,0.014408871055119008,-0.0024297938788715974,0.03256148863731014,TRUE,TRUE,,1.4408871055119008,-0.24297938788715975,3.2561488637310143,model-specific covariate-standardized home contrast,"covariate-standardized home-region refusal contrast; NOT causal, NOT a difference-in-differences, NOT a within-issue effect; adjustment controls measured composition only and cannot remove unmeasured differences between home and away issues",canon_004
MENA,EQUAL-MODEL AVERAGE,0.03755812762623573,0.014965716780980291,0.06199246311387592,TRUE,TRUE,jointly bootstrapped mean of this jurisdiction's model-specific contrasts,3.755812762623573,1.4965716780980292,6.199246311387592,model-specific covariate-standardized home contrast,"covariate-standardized home-region refusal contrast; NOT causal, NOT a difference-in-differences, NOT a within-issue effect; adjustment controls measured composition only and cannot remove unmeasured differences between home and away issues",canon_004
India,sarvam-30b,-0.030681781328540186,-0.05881080583553856,-0.0010746122171324088,TRUE,TRUE,,-3.0681781328540185,-5.881080583553857,-0.10746122171324088,model-specific covariate-standardized home contrast,"covariate-standardized home-region refusal contrast; NOT causal, NOT a difference-in-differences, NOT a within-issue effect; adjustment controls measured composition only and cannot remove unmeasured differences between home and away issues",canon_004
India,EQUAL-MODEL AVERAGE,-0.030681781328540186,-0.05881080583553856,-0.0010746122171324088,TRUE,TRUE,jointly bootstrapped mean of this jurisdiction's model-specific contrasts,-3.0681781328540185,-5.881080583553857,-0.10746122171324088,model-specific covariate-standardized home contrast,"covariate-standardized home-region refusal contrast; NOT causal, NOT a difference-in-differences, NOT a within-issue effect; adjustment controls measured composition only and cannot remove unmeasured differences between home and away issues",canon_004
US,claude-opus-4.5,0.013057564503982022,-0.031240671708170624,0.05913379048674655,TRUE,TRUE,,1.3057564503982022,-3.1240671708170624,5.913379048674655,model-specific covariate-standardized home contrast,"covariate-standardized home-region refusal contrast; NOT causal, NOT a difference-in-differences, NOT a within-issue effect; adjustment controls measured composition only and cannot remove unmeasured differences between home and away issues",canon_004
