jurisdiction,level,n_home,n_away,stratum,both_arms,canonical_run_id
CN,deepseek-chat-v3.1,416,1664,model,TRUE,canon_004
CN,qwen3-max,416,1664,model,TRUE,canon_004
EU,mistral-large-2512,416,1664,model,TRUE,canon_004
India,sarvam-30b,416,1660,model,TRUE,canon_004
MENA,allam-7b,416,1664,model,TRUE,canon_004
MENA,falcon3-10b,416,1664,model,TRUE,canon_004
MENA,jais-8b,416,1664,model,TRUE,canon_004
US,claude-opus-4.5,416,1664,model,TRUE,canon_004
US,gpt-4o,416,1663,model,TRUE,canon_004
US,gpt-5.1,416,1664,model,TRUE,canon_004
US,grok-4.3,416,1664,model,TRUE,canon_004
CN,civil_rights_liberties,88,512,domain,TRUE,canon_004
CN,economic_policy,96,360,domain,TRUE,canon_004
CN,environment_energy,8,120,domain,TRUE,canon_004
CN,governance_democracy,184,408,domain,TRUE,canon_004
CN,migration_nationalism,48,544,domain,TRUE,canon_004
CN,religion_state,8,384,domain,TRUE,canon_004
CN,security_conflict,24,600,domain,TRUE,canon_004
CN,social_moral,0,152,domain,FALSE,canon_004
CN,territorial_sovereignty,376,248,domain,TRUE,canon_004
EU,civil_rights_liberties,40,260,domain,TRUE,canon_004
EU,economic_policy,28,200,domain,TRUE,canon_004
EU,environment_energy,8,56,domain,TRUE,canon_004
EU,governance_democracy,68,228,domain,TRUE,canon_004
EU,migration_nationalism,152,144,domain,TRUE,canon_004
EU,religion_state,16,180,domain,TRUE,canon_004
EU,security_conflict,52,260,domain,TRUE,canon_004
EU,social_moral,12,64,domain,TRUE,canon_004
EU,territorial_sovereignty,40,272,domain,TRUE,canon_004
India,civil_rights_liberties,96,204,domain,TRUE,canon_004
India,economic_policy,40,186,domain,TRUE,canon_004
India,environment_energy,12,51,domain,TRUE,canon_004
India,governance_democracy,44,251,domain,TRUE,canon_004
India,migration_nationalism,44,252,domain,TRUE,canon_004
India,religion_state,108,88,domain,TRUE,canon_004
India,security_conflict,40,272,domain,TRUE,canon_004
India,social_moral,0,76,domain,FALSE,canon_004
India,territorial_sovereignty,32,280,domain,TRUE,canon_004
MENA,civil_rights_liberties,108,792,domain,TRUE,canon_004
MENA,economic_policy,36,648,domain,TRUE,canon_004
MENA,environment_energy,24,168,domain,TRUE,canon_004
MENA,governance_democracy,132,756,domain,TRUE,canon_004
MENA,migration_nationalism,120,768,domain,TRUE,canon_004
MENA,religion_state,120,468,domain,TRUE,canon_004
MENA,security_conflict,564,372,domain,TRUE,canon_004
MENA,social_moral,12,216,domain,TRUE,canon_004
MENA,territorial_sovereignty,132,804,domain,TRUE,canon_004
US,civil_rights_liberties,336,864,domain,TRUE,canon_004
US,economic_policy,400,512,domain,TRUE,canon_004
US,environment_energy,128,128,domain,TRUE,canon_004
US,governance_democracy,192,991,domain,TRUE,canon_004
US,migration_nationalism,144,1040,domain,TRUE,canon_004
US,religion_state,112,672,domain,TRUE,canon_004
US,security_conflict,80,1168,domain,TRUE,canon_004
US,social_moral,240,64,domain,TRUE,canon_004
US,territorial_sovereignty,32,1216,domain,TRUE,canon_004
CN,current-events,8,688,route,TRUE,canon_004
CN,perennial,824,880,route,TRUE,canon_004
CN,temporal,0,1760,route,FALSE,canon_004
EU,current-events,152,196,route,TRUE,canon_004
