quantity,category,estimate,conf_low,conf_high,conf_low_battery,conf_high_battery,battery_se,interval_reliable,dimension,field,role,weighting,n,n_models,n_issues_sampled,n_issues_battery,endpoint_neg,endpoint_pos,scale_label,primary_estimand,inference_target,reliability_warning,conditional,canonical_run_id
share_neg2,-2,0.005193940072337456,0.0013339675156450658,0.010004318206020204,0.0012752907929442607,0.00911258935173065,0.0019993475953145067,TRUE,Economic,economic_left_right,PRIMARY,equal-model,6528,11,156,624,left,right,left (-2) <-> right (+2),equal-model share in each of the five categories -2..+2,"conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.","IDEOLOGY RELIABILITY IS WEAK. Panel alpha by dimension: economic ~0.41, social ~0.30, authority ~0.24, populism ~0.14. These are DESCRIPTIVE/EXPLORATORY quantities; social, authority and populism in particular should not carry substantive weight.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_004
share_neg1,-1,0.02457266859170246,0.01525051393870147,0.034758044706788914,0.016077067206692122,0.0330682699767128,0.004334570151300003,TRUE,Economic,economic_left_right,PRIMARY,equal-model,6528,11,156,624,left,right,left (-2) <-> right (+2),equal-model share in each of the five categories -2..+2,"conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.","IDEOLOGY RELIABILITY IS WEAK. Panel alpha by dimension: economic ~0.41, social ~0.30, authority ~0.24, populism ~0.14. These are DESCRIPTIVE/EXPLORATORY quantities; social, authority and populism in particular should not carry substantive weight.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_004
share_zero,0,0.923999026225001,0.8976883690619052,0.9478127985907145,0.9022892338685221,0.9457088185814798,0.011076628207315526,TRUE,Economic,economic_left_right,PRIMARY,equal-model,6528,11,156,624,left,right,left (-2) <-> right (+2),equal-model share in each of the five categories -2..+2,"conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.","IDEOLOGY RELIABILITY IS WEAK. Panel alpha by dimension: economic ~0.41, social ~0.30, authority ~0.24, populism ~0.14. These are DESCRIPTIVE/EXPLORATORY quantities; social, authority and populism in particular should not carry substantive weight.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_004
share_pos1,1,0.04228233115749103,0.028504996629893423,0.056453176543301835,0.02989918009440168,0.054665482220580375,0.00631805031151902,TRUE,Economic,economic_left_right,PRIMARY,equal-model,6528,11,156,624,left,right,left (-2) <-> right (+2),equal-model share in each of the five categories -2..+2,"conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.","IDEOLOGY RELIABILITY IS WEAK. Panel alpha by dimension: economic ~0.41, social ~0.30, authority ~0.24, populism ~0.14. These are DESCRIPTIVE/EXPLORATORY quantities; social, authority and populism in particular should not carry substantive weight.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_004
share_pos2,2,0.003952033953468091,7.403860856747493e-4,0.008990542419857736,2.2624553294255069e-4,0.00767782237399363,0.0019009473898061826,TRUE,Economic,economic_left_right,PRIMARY,equal-model,6528,11,156,624,left,right,left (-2) <-> right (+2),equal-model share in each of the five categories -2..+2,"conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.","IDEOLOGY RELIABILITY IS WEAK. Panel alpha by dimension: economic ~0.41, social ~0.30, authority ~0.24, populism ~0.14. These are DESCRIPTIVE/EXPLORATORY quantities; social, authority and populism in particular should not carry substantive weight.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_004
signed_mean,NA,0.01522585032804984,0.002164883199733189,0.02931427741941668,0.003254019238209678,0.02719768141789,0.006108189326065398,TRUE,Economic,economic_left_right,SECONDARY,equal-model,6528,11,156,624,left,right,left (-2) <-> right (+2),equal-model share in each of the five categories -2..+2,"conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.","IDEOLOGY RELIABILITY IS WEAK. Panel alpha by dimension: economic ~0.41, social ~0.30, authority ~0.24, populism ~0.14. These are DESCRIPTIVE/EXPLORATORY quantities; social, authority and populism in particular should not carry substantive weight.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_004
share_neg2,-2,0.016052430308314745,0.00793628288441026,0.026500343999188106,0.007958798289075633,0.024146062327553855,0.004129479971612056,TRUE,Social,social_left_right,PRIMARY,equal-model,6528,11,156,624,progressive,traditional,progressive (-2) <-> traditional (+2),equal-model share in each of the five categories -2..+2,"conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.","IDEOLOGY RELIABILITY IS WEAK. Panel alpha by dimension: economic ~0.41, social ~0.30, authority ~0.24, populism ~0.14. These are DESCRIPTIVE/EXPLORATORY quantities; social, authority and populism in particular should not carry substantive weight.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_004
share_neg1,-1,0.106500278950647,0.0866361348599338,0.12692683913814484,0.0887553346624883,0.12424522323880569,0.009053709368196836,TRUE,Social,social_left_right,PRIMARY,equal-model,6528,11,156,624,progressive,traditional,progressive (-2) <-> traditional (+2),equal-model share in each of the five categories -2..+2,"conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.","IDEOLOGY RELIABILITY IS WEAK. Panel alpha by dimension: economic ~0.41, social ~0.30, authority ~0.24, populism ~0.14. These are DESCRIPTIVE/EXPLORATORY quantities; social, authority and populism in particular should not carry substantive weight.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_004
share_zero,0,0.7950900190477068,0.75812398523493,0.8301316496574016,0.7637960711712489,0.8263839669241647,0.015966593326867545,TRUE,Social,social_left_right,PRIMARY,equal-model,6528,11,156,624,progressive,traditional,progressive (-2) <-> traditional (+2),equal-model share in each of the five categories -2..+2,"conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.","IDEOLOGY RELIABILITY IS WEAK. Panel alpha by dimension: economic ~0.41, social ~0.30, authority ~0.24, populism ~0.14. These are DESCRIPTIVE/EXPLORATORY quantities; social, authority and populism in particular should not carry substantive weight.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_004
share_pos1,1,0.07920032696046009,0.061828337238028115,0.09809501692634157,0.06396316993097718,0.09443748398994299,0.007774202561716265,TRUE,Social,social_left_right,PRIMARY,equal-model,6528,11,156,624,progressive,traditional,progressive (-2) <-> traditional (+2),equal-model share in each of the five categories -2..+2,"conf_low/conf_high target an issue SUPERPOPULATION (issue-cluster bootstrap, percentile). conf_low_battery/conf_high_battery target the frozen 624-issue battery (delete-one-issue jackknife with finite-population correction, normal approximation). They answer different questions; neither is a correction of the other.","IDEOLOGY RELIABILITY IS WEAK. Panel alpha by dimension: economic ~0.41, social ~0.30, authority ~0.24, populism ~0.14. These are DESCRIPTIVE/EXPLORATORY quantities; social, authority and populism in particular should not carry substantive weight.",CONDITIONAL ON ENGAGEMENT: passes 2/3 skip refusals by design,canon_004
