jurisdiction,home_status,n,refusals_strict,refusals_any,rate_strict,rate_any,n_issues,grouping,stratum_value,model,quantity,weighting,estimate,estimate_pp,conf_low,conf_high,conf_low_pp,conf_high_pp,n_home,n_away,estimable,note,sample,outcome,estimand,causal_interpretation,general_handling,canonical_run_id
CN,away,3328,119,143,0.035757211538461536,0.04296875,416,jurisdiction,CN,NA,observed_rate,response,0.035757211538461536,3.5757211538461537,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
CN,general,832,26,28,0.03125,0.03365384615384615,104,jurisdiction,CN,NA,observed_rate,response,0.03125,3.125,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
CN,home,832,163,175,0.19591346153846154,0.21033653846153846,104,jurisdiction,CN,NA,observed_rate,response,0.19591346153846154,19.591346153846153,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
MENA,away,4992,387,393,0.07752403846153846,0.07872596153846154,416,jurisdiction,MENA,NA,observed_rate,response,0.07752403846153846,7.752403846153847,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
MENA,general,1248,84,85,0.0673076923076923,0.06810897435897435,104,jurisdiction,MENA,NA,observed_rate,response,0.0673076923076923,6.730769230769231,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
MENA,home,1248,170,171,0.1362179487179487,0.13701923076923078,104,jurisdiction,MENA,NA,observed_rate,response,0.1362179487179487,13.62179487179487,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
India,away,1660,108,115,0.06506024096385542,0.06927710843373494,416,jurisdiction,India,NA,observed_rate,response,0.06506024096385542,6.506024096385541,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
India,general,414,13,13,0.03140096618357488,0.03140096618357488,104,jurisdiction,India,NA,observed_rate,response,0.03140096618357488,3.140096618357488,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
India,home,416,31,32,0.07451923076923077,0.07692307692307693,104,jurisdiction,India,NA,observed_rate,response,0.07451923076923077,7.451923076923077,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
US,away,6655,231,279,0.03471074380165289,0.04192336589030804,416,jurisdiction,US,NA,observed_rate,response,0.03471074380165289,3.4710743801652892,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
US,general,1664,36,38,0.021634615384615384,0.02283653846153846,104,jurisdiction,US,NA,observed_rate,response,0.021634615384615384,2.1634615384615383,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
US,home,1664,43,49,0.025841346153846152,0.029447115384615384,104,jurisdiction,US,NA,observed_rate,response,0.025841346153846152,2.5841346153846154,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
EU,away,1664,0,0,0,0,416,jurisdiction,EU,NA,observed_rate,response,0,0,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
EU,general,416,0,0,0,0,104,jurisdiction,EU,NA,observed_rate,response,0,0,NA,NA,NA,NA,NA,NA,NA,NA,English only,refused_strict (codes 4-5),descriptive difference in observed rates,"none: observed rates, unadjusted",General reported separately; never in the away category,canon_006
