model_f,language_f,n,engagement_rate,refusal_rate
GPT-5.1,Hindi,2496,0.9903846153846154,0.009615384615384616
GPT-5.1,Russian,2496,0.9795673076923077,0.020432692307692308
GPT-5.1,Chinese,2496,0.9755608974358975,0.024439102564102564
GPT-5.1,English,2496,0.9583333333333334,0.041666666666666664
GPT-5.1,Arabic,2496,0.9519230769230769,0.04807692307692308
Claude Opus 4.5,Arabic,2496,0.9791666666666666,0.020833333333333332
Claude Opus 4.5,Russian,2496,0.9767628205128205,0.023237179487179488
Claude Opus 4.5,Chinese,2496,0.9691506410256411,0.030849358974358976
Claude Opus 4.5,English,2496,0.9607371794871795,0.03926282051282051
Claude Opus 4.5,Hindi,2496,0.9194711538461539,0.08052884615384616
GPT-4o,Hindi,2496,0.9891826923076923,0.010817307692307692
GPT-4o,Chinese,2496,0.9887820512820513,0.011217948717948718
GPT-4o,Arabic,2496,0.983573717948718,0.016426282051282052
GPT-4o,English,2496,0.9779647435897436,0.022035256410256412
GPT-4o,Russian,2496,0.9759615384615384,0.02403846153846154
Grok 4.3,Arabic,2496,0.9879807692307693,0.01201923076923077
Grok 4.3,Hindi,2496,0.9879807692307693,0.01201923076923077
Grok 4.3,Russian,2496,0.9875801282051282,0.012419871794871794
Grok 4.3,Chinese,2496,0.9847756410256411,0.015224358974358974
Grok 4.3,English,2496,0.9799679487179487,0.020032051282051284
DeepSeek V3.1,English,2496,0.9503205128205128,0.049679487179487176
DeepSeek V3.1,Hindi,2494,0.9302325581395349,0.06976744186046512
DeepSeek V3.1,Russian,2496,0.9082532051282052,0.09174679487179487
DeepSeek V3.1,Arabic,2496,0.8958333333333334,0.10416666666666667
DeepSeek V3.1,Chinese,2496,0.8369391025641025,0.16306089743589744
Qwen3-Max,Arabic,2496,0.9863782051282052,0.013621794871794872
Qwen3-Max,Hindi,2495,0.9851703406813628,0.014829659318637275
Qwen3-Max,Russian,2496,0.9847756410256411,0.015224358974358974
Qwen3-Max,Chinese,2496,0.9350961538461539,0.06490384615384616
Qwen3-Max,English,2496,0.9262820512820513,0.07371794871794872
Mistral Large 2512,English,2496,1,0
Mistral Large 2512,Chinese,2496,1,0
Mistral Large 2512,Arabic,2496,1,0
Mistral Large 2512,Russian,2496,1,0
Mistral Large 2512,Hindi,2495,1,0
ALLaM 7B,English,2496,0.8325320512820513,0.1674679487179487
ALLaM 7B,Arabic,421,0.8004750593824228,0.1995249406175772
ALLaM 7B,Chinese,2496,0.6842948717948718,0.3157051282051282
Jais 8B,English,2496,0.9763621794871795,0.023637820512820512
Jais 8B,Arabic,421,0.9619952494061758,0.03800475059382423
Jais 8B,Chinese,2496,0.9603365384615384,0.039663461538461536
Falcon3 10B,Chinese,2489,0.9706709521896344,0.02932904781036561
Falcon3 10B,English,2496,0.9387019230769231,0.06129807692307692
Falcon3 10B,Arabic,410,0.6585365853658537,0.34146341463414637
Sarvam 30B,Chinese,2480,0.9919354838709677,0.008064516129032258
Sarvam 30B,English,2490,0.9389558232931727,0.06104417670682731
Sarvam 30B,Arabic,133,0.924812030075188,0.07518796992481203
