model_f,n,engagement_rate,refusal_rate
Mistral Large 2512,6240,1,0
GPT-4o,6240,0.9995192307692308,4.807692307692308e-4
Grok 4.3,6240,0.9839743589743589,0.016025641025641024
Qwen3-Max,6240,0.9637820512820513,0.03621794871794872
Claude Opus 4.5,6240,0.9532051282051283,0.046794871794871795
GPT-5.1,6240,0.950801282051282,0.04919871794871795
Sarvam 30B,6236,0.9483643361128928,0.05163566388710712
Jais 8B,6240,0.9280448717948718,0.0719551282051282
DeepSeek V3.1,6239,0.925308543035743,0.0746914569642571
Falcon3 10B,6235,0.8765036086607859,0.12349639133921411
ALLaM 7B,6236,0.6032713277742142,0.3967286722257858
