model_f,language_f,n,engagement_rate,refusal_rate
GPT-5.1,Hindi,69,0.9710144927536232,0.028985507246376812
GPT-5.1,Russian,1219,0.9671862182116489,0.03281378178835111
GPT-5.1,Chinese,1248,0.9575320512820513,0.04246794871794872
GPT-5.1,English,1248,0.9318910256410257,0.06810897435897435
GPT-5.1,Arabic,1248,0.9110576923076923,0.0889423076923077
Claude Opus 4.5,Russian,1220,0.9836065573770492,0.01639344262295082
Claude Opus 4.5,Arabic,1248,0.9807692307692307,0.019230769230769232
Claude Opus 4.5,English,1248,0.9743589743589743,0.02564102564102564
Claude Opus 4.5,Chinese,1248,0.9623397435897436,0.03766025641025641
Claude Opus 4.5,Hindi,69,0.8695652173913043,0.13043478260869565
GPT-4o,Russian,1222,1,0
GPT-4o,Hindi,71,1,0
GPT-4o,English,1248,0.999198717948718,8.012820512820513e-4
GPT-4o,Chinese,1248,0.999198717948718,8.012820512820513e-4
GPT-4o,Arabic,1248,0.999198717948718,8.012820512820513e-4
Grok 4.3,Arabic,1248,0.9879807692307693,0.01201923076923077
Grok 4.3,Russian,1221,0.9860769860769861,0.013923013923013924
Grok 4.3,Chinese,1248,0.9807692307692307,0.019230769230769232
Grok 4.3,English,1248,0.9775641025641025,0.022435897435897436
Grok 4.3,Hindi,71,0.971830985915493,0.028169014084507043
DeepSeek V3.1,English,1248,0.9703525641025641,0.029647435897435896
DeepSeek V3.1,Russian,1217,0.9556285949055053,0.04437140509449466
DeepSeek V3.1,Hindi,68,0.9264705882352942,0.07352941176470588
DeepSeek V3.1,Arabic,1248,0.9118589743589743,0.08814102564102565
DeepSeek V3.1,Chinese,1248,0.8645833333333334,0.13541666666666666
Qwen3-Max,Arabic,1248,0.9903846153846154,0.009615384615384616
Qwen3-Max,Russian,1220,0.9868852459016394,0.013114754098360656
Qwen3-Max,Hindi,68,0.9852941176470589,0.014705882352941176
Qwen3-Max,Chinese,1248,0.9286858974358975,0.07131410256410256
Qwen3-Max,English,1248,0.9238782051282052,0.07612179487179487
Mistral Large 2512,English,1248,1,0
Mistral Large 2512,Chinese,1248,1,0
Mistral Large 2512,Arabic,1248,1,0
Mistral Large 2512,Russian,1217,1,0
Mistral Large 2512,Hindi,66,1,0
ALLaM 7B,English,1248,0.8365384615384616,0.16346153846153846
ALLaM 7B,Chinese,234,0.7435897435897436,0.2564102564102564
Jais 8B,Chinese,235,0.9659574468085106,0.03404255319148936
Jais 8B,English,1248,0.9559294871794872,0.044070512820512824
Falcon3 10B,Chinese,236,0.9830508474576272,0.01694915254237288
Falcon3 10B,English,1248,0.9655448717948718,0.03445512820512821
Sarvam 30B,English,1192,0.8959731543624161,0.1040268456375839
