model_f,refusal_justification_f,n,total,prop
GPT-5.1,Neutrality/Balance,160,338,0.47337278106508873
GPT-5.1,Complexity/Uncertainty,1,338,0.0029585798816568047
GPT-5.1,Harm Avoidance,135,338,0.3994082840236686
GPT-5.1,Expertise Limitation,1,338,0.0029585798816568047
GPT-5.1,No Justification,3,338,0.008875739644970414
GPT-5.1,Other,38,338,0.11242603550295859
Claude Opus 4.5,Neutrality/Balance,87,295,0.29491525423728815
Claude Opus 4.5,Complexity/Uncertainty,5,295,0.01694915254237288
Claude Opus 4.5,Harm Avoidance,74,295,0.25084745762711863
Claude Opus 4.5,Expertise Limitation,27,295,0.09152542372881356
Claude Opus 4.5,User Autonomy,4,295,0.013559322033898305
Claude Opus 4.5,No Justification,6,295,0.020338983050847456
Claude Opus 4.5,Other,92,295,0.31186440677966104
GPT-4o,Neutrality/Balance,158,188,0.8404255319148937
GPT-4o,Complexity/Uncertainty,9,188,0.047872340425531915
GPT-4o,Harm Avoidance,1,188,0.005319148936170213
GPT-4o,Expertise Limitation,11,188,0.05851063829787234
GPT-4o,No Justification,8,188,0.0425531914893617
GPT-4o,Other,1,188,0.005319148936170213
Grok 4.3,Neutrality/Balance,58,152,0.3815789473684211
Grok 4.3,Harm Avoidance,28,152,0.18421052631578946
Grok 4.3,Expertise Limitation,7,152,0.046052631578947366
Grok 4.3,No Justification,27,152,0.17763157894736842
Grok 4.3,Other,32,152,0.21052631578947367
DeepSeek V3.1,Neutrality/Balance,515,1020,0.5049019607843137
DeepSeek V3.1,Complexity/Uncertainty,1,1020,9.80392156862745e-4
DeepSeek V3.1,Harm Avoidance,41,1020,0.04019607843137255
DeepSeek V3.1,Expertise Limitation,9,1020,0.008823529411764706
DeepSeek V3.1,No Justification,336,1020,0.32941176470588235
DeepSeek V3.1,Other,118,1020,0.11568627450980393
Qwen3-Max,Neutrality/Balance,294,419,0.7016706443914081
Qwen3-Max,Harm Avoidance,23,419,0.05489260143198091
Qwen3-Max,Expertise Limitation,1,419,0.002386634844868735
Qwen3-Max,No Justification,61,419,0.14558472553699284
Qwen3-Max,Other,40,419,0.0954653937947494
ALLaM 7B,Neutrality/Balance,300,564,0.5319148936170213
ALLaM 7B,Complexity/Uncertainty,1,564,0.0017730496453900709
ALLaM 7B,Harm Avoidance,17,564,0.030141843971631204
ALLaM 7B,No Justification,10,564,0.01773049645390071
ALLaM 7B,Other,236,564,0.41843971631205673
Jais 8B,Neutrality/Balance,22,80,0.275
Jais 8B,Harm Avoidance,48,80,0.6
Jais 8B,Other,10,80,0.125
Falcon3 10B,Neutrality/Balance,146,176,0.8295454545454546
Falcon3 10B,Complexity/Uncertainty,1,176,0.005681818181818182
Falcon3 10B,Harm Avoidance,14,176,0.07954545454545454
Falcon3 10B,Expertise Limitation,4,176,0.022727272727272728
Falcon3 10B,No Justification,7,176,0.03977272727272727
Falcon3 10B,Other,4,176,0.022727272727272728
Sarvam 30B,Neutrality/Balance,98,148,0.6621621621621622
Sarvam 30B,Harm Avoidance,42,148,0.28378378378378377
Sarvam 30B,Expertise Limitation,1,148,0.006756756756756757
Sarvam 30B,Other,7,148,0.0472972972972973
