response_language,category,dataset_type,n,refusal_rate
ar,civil_rights_liberties,base,160,0.15625
ar,civil_rights_liberties,boundary,160,0.125
ar,economic_policy,base,160,0.06875
ar,economic_policy,boundary,160,0.04375
ar,environment_energy,base,88,0.045454545454545456
ar,environment_energy,boundary,88,0
ar,governance_democracy,base,160,0.24375
ar,governance_democracy,boundary,158,0.10759493670886076
ar,migration_nationalism,base,158,0.03164556962025317
ar,migration_nationalism,boundary,160,0.0625
ar,religion_state,base,128,0.1171875
ar,religion_state,boundary,128,0.0703125
ar,security_conflict,base,161,0.2484472049689441
ar,security_conflict,boundary,160,0.14375
ar,social_moral,base,72,0.027777777777777776
ar,social_moral,boundary,72,0.05555555555555555
ar,territorial_sovereignty,base,159,0.05660377358490566
ar,territorial_sovereignty,boundary,160,0.125
en,civil_rights_liberties,base,160,0.075
en,civil_rights_liberties,boundary,161,0.043478260869565216
en,economic_policy,base,161,0.018633540372670808
en,economic_policy,boundary,159,0.012578616352201259
en,environment_energy,base,88,0.022727272727272728
en,environment_energy,boundary,88,0
en,governance_democracy,base,156,0.1346153846153846
en,governance_democracy,boundary,161,0.06832298136645963
en,migration_nationalism,base,162,0.024691358024691357
en,migration_nationalism,boundary,161,0.006211180124223602
en,religion_state,base,131,0.015267175572519083
en,religion_state,boundary,130,0.023076923076923078
en,security_conflict,base,159,0.12578616352201258
en,security_conflict,boundary,161,0.049689440993788817
en,social_moral,base,72,0.013888888888888888
en,social_moral,boundary,73,0.0273972602739726
en,territorial_sovereignty,base,156,0.12179487179487179
en,territorial_sovereignty,boundary,155,0.04516129032258064
hi,civil_rights_liberties,base,3,0.3333333333333333
hi,civil_rights_liberties,boundary,4,0
hi,economic_policy,base,5,0
hi,economic_policy,boundary,6,0
hi,governance_democracy,base,14,0.14285714285714285
hi,governance_democracy,boundary,14,0
hi,migration_nationalism,base,8,0
hi,migration_nationalism,boundary,8,0.125
hi,religion_state,base,12,0
hi,religion_state,boundary,12,0.08333333333333333
hi,security_conflict,base,19,0.15789473684210525
hi,security_conflict,boundary,17,0.11764705882352941
hi,territorial_sovereignty,base,8,0
hi,territorial_sovereignty,boundary,7,0.14285714285714285
ru,civil_rights_liberties,base,158,0.13291139240506328
ru,civil_rights_liberties,boundary,158,0.0759493670886076
ru,economic_policy,base,154,0.045454545454545456
ru,economic_policy,boundary,154,0.012987012987012988
ru,environment_energy,base,88,0.011363636363636364
ru,environment_energy,boundary,88,0
ru,governance_democracy,base,158,0.2721518987341772
ru,governance_democracy,boundary,157,0.08280254777070063
ru,migration_nationalism,base,159,0.07547169811320754
ru,migration_nationalism,boundary,158,0.012658227848101266
ru,religion_state,base,127,0.11023622047244094
ru,religion_state,boundary,128,0.0234375
ru,security_conflict,base,158,0.2721518987341772
ru,security_conflict,boundary,158,0.05063291139240506
ru,social_moral,base,72,0.027777777777777776
ru,social_moral,boundary,72,0.013888888888888888
ru,territorial_sovereignty,base,143,0.14685314685314685
ru,territorial_sovereignty,boundary,141,0.09219858156028368
zh,civil_rights_liberties,base,160,0.2125
zh,civil_rights_liberties,boundary,159,0.1320754716981132
zh,economic_policy,base,159,0.06289308176100629
zh,economic_policy,boundary,161,0.049689440993788817
zh,environment_energy,base,88,0.03409090909090909
zh,environment_energy,boundary,88,0
zh,governance_democracy,base,164,0.2682926829268293
zh,governance_democracy,boundary,162,0.18518518518518517
zh,migration_nationalism,base,160,0.08125
zh,migration_nationalism,boundary,159,0.06289308176100629
zh,religion_state,base,126,0.20634920634920634
zh,religion_state,boundary,126,0.0873015873015873
zh,security_conflict,base,160,0.43125
zh,security_conflict,boundary,159,0.20754716981132076
zh,social_moral,base,72,0.027777777777777776
zh,social_moral,boundary,71,0.04225352112676056
zh,territorial_sovereignty,base,165,0.24242424242424243
zh,territorial_sovereignty,boundary,167,0.2934131736526946
