model,prompt_language,refusal_rate,n,model_label,language
claude-opus-4.5,en,0.052884615384615384,1248,Claude Opus 4.5,English
claude-opus-4.5,zh,0.02403846153846154,1248,Claude Opus 4.5,Chinese
deepseek-chat-v3.1,en,0.06971153846153846,1248,DeepSeek V3.1,English
deepseek-chat-v3.1,zh,0.1907051282051282,1248,DeepSeek V3.1,Chinese
gpt-4o,en,0.04326923076923077,1248,GPT-4o,English
gpt-4o,zh,0.021634615384615384,1248,GPT-4o,Chinese
gpt-5.1,en,0.015224358974358974,1248,GPT-5.1,English
gpt-5.1,zh,0.00641025641025641,1248,GPT-5.1,Chinese
grok-4.3,en,0.017628205128205128,1248,Grok 4.3,English
grok-4.3,zh,0.011217948717948718,1248,Grok 4.3,Chinese
mistral-large-2512,en,0,1248,Mistral Large 2512,English
mistral-large-2512,zh,0,1248,Mistral Large 2512,Chinese
qwen3-max,en,0.07131410256410256,1248,Qwen3-Max,English
qwen3-max,zh,0.058493589743589744,1248,Qwen3-Max,Chinese
