response_language,refusal_justification,n,pct
ar,A,154,0.5923076923076923
ar,F,59,0.22692307692307692
ar,G,28,0.1076923076923077
ar,C,12,0.046153846153846156
ar,D,6,0.023076923076923078
ar,B,1,0.0038461538461538464
en,A,86,0.688
en,G,20,0.16
en,C,15,0.12
en,F,3,0.024
en,D,1,0.008
hi,A,9,0.8181818181818182
hi,C,1,0.09090909090909091
hi,G,1,0.09090909090909091
ru,F,94,0.43119266055045874
ru,A,92,0.42201834862385323
ru,G,19,0.0871559633027523
ru,C,11,0.05045871559633028
ru,D,2,0.009174311926605505
zh,F,180,0.4433497536945813
zh,A,174,0.42857142857142855
zh,G,50,0.12315270935960591
zh,C,2,0.0049261083743842365
